DATE,BEDY,BELR,BEPC,BESP,BESR,BEYM,DEDY,DELR,DEPC,DEPR,DESP,DESR,DEYG,DEYM,DKCP,DKLR,DKPR,DKSP,DKSR,DKYM,ESLR,ESPC,ESSP,ESSR,ESYM,FRDY,FRLR,FRPC,FRSP,FRSR,FRYG,IRLR,IRPC,IRSP,IRSR,IRYM,ITDY,ITLR,ITPC,ITSP,ITSR,ITYG,NLLR,NLPC,NLPR,NLSP,NLSR,NLYG,UKDY,UKLR,UKPC,UKPR,UKSP,UKSR,UKYG,USLR
198903,2.8,8.44,103.58,344.33,8.72,1.15,3.13,6.87,104.3,7.1,297.03,7.19,1.11,1.12,118.5,9.54,9.99,140,9.51,105,13.73,84.82,3.71,15.3,1.17,2.59,8.93,1.13,598.83,9.21,1.15,8.8,99.2,2.95,9.84,1.4,2.22,11.69,94.3,794,12.7,1.15,7.1,101.57,7.41,1.44,7.36,1.11,4.04,10.12,115.97,11.92,1182.76,13.34,1.17,8.25
198904,2.77,9.19,104.21,349.33,9.9,1.15,3.08,7.4,104.93,7.77,300.9,8.18,1.12,1.14,120.1,10.41,10.6,139,11.8,108,14.26,86.03,3.55,15.42,1.16,2.73,9.56,1.14,614.2,10.47,1.15,9.21,100,2.95,11.04,1.42,2.4,12.22,95.93,727.3,12.95,1.15,7.64,102.1,7.99,1.4,8.4,1.12,4.4,10.52,118.27,12.51,1131.51,14.45,1.17,8.07
199001,2.67,10.28,105.08,340,10.37,1.2,2.76,8.5,106.1,8.63,344.43,8.36,1.15,1.15,119.83,11.32,11.28,149,12.16,111.7,14.63,87.62,3.15,15.51,1.18,2.64,10.36,1.15,617.1,11.02,1.17,10.23,100.9,3.12,11.27,1.41,2.65,12.37,97.9,715.27,13.29,1.16,8.68,102.4,8.92,1.37,8.91,1.13,4.55,11.75,120.37,13.78,1148.95,14.46,1.18,8.6
199002,2.37,9.97,105.85,327.33,9.77,1.16,2.95,8.87,106.67,9,349.57,8.3,1.16,1.15,120.77,10.56,10.73,148,10.87,107,14.61,88.3,3.33,15.01,1.16,2.49,10.07,1.16,656.47,9.97,1.17,9.98,101.2,2.89,10.61,1.42,2.62,11.83,99.13,749.23,12.26,1.16,8.94,103.23,9.12,1.39,8.47,1.14,4.87,12.36,126,14.21,1119.66,14.47,1.18,8.81
199003,3,9.95,107.02,304.33,9.1,1.16,3.35,8.93,107.13,9,327.9,8.39,1.18,1.19,121.63,10.48,10.81,148,10.46,107.7,14.8,90.25,2.97,15.06,1.16,3.36,10.62,1.17,555.13,10.2,1.18,10.15,102.1,2.62,10.43,1.47,3.07,11.55,100.47,637.5,11.36,1.17,8.97,104.1,9.09,1.29,8.44,1.15,5.17,11.97,128.07,13.4,1081.98,14.28,1.17,8.91
199004,3.57,10.04,108.3,274.33,9.3,1.19,3.72,9,108.1,9.17,283.27,8.9,1.19,1.2,122.73,10.6,11.07,139,10.38,107.3,14.62,91.84,2.67,15.02,1.16,3.89,10.61,1.18,492.37,10.1,1.17,9.98,102.7,2.14,10.19,1.46,3.94,11.74,102.37,506.67,12.6,1.16,9.13,104.97,9.31,1.2,8.91,1.17,5.52,11.15,130.07,12.72,1019.03,12.96,1.16,8.61
199101,3.3,9.51,108.98,285.67,9.63,1.16,3.68,8.67,108.97,8.9,284.17,9.17,1.21,1.21,122.8,9.94,10.42,147,10.27,111.7,13.74,93.04,3.04,14.55,1.13,3.39,9.79,1.19,512.87,9.83,1.17,9.25,103.5,2.14,10.34,1.47,3.76,11.91,104.2,501.53,13.22,1.17,8.82,105.6,9.01,1.28,9.22,1.15,5.2,10.21,130.83,11.84,1099,12.14,1.15,8.28
199102,3.17,9.22,109.28,307,9.18,1.16,3.5,8.4,109.97,8.7,308.9,9.11,1.22,1.22,123.93,9.48,9.99,153,9.67,110.3,12.04,93.67,3.26,12.96,1.15,3.25,9.46,1.2,558.23,9.43,1.18,9.1,104.3,2.53,9.71,1.45,3.48,11.13,105.7,547.07,11.71,1.17,8.62,106.57,8.77,1.42,9.16,1.18,4.81,10.45,133.57,11.74,1206.59,10.89,1.14,8.39
199103,3.37,9.37,110.54,293.33,9.24,1.14,3.6,8.6,111.57,9,300.73,9.24,1.22,1.21,124.37,9.65,10.04,164,9.59,115,11.91,95.6,3.19,12.64,1.15,3.51,9.46,1.21,551.33,9.54,1.19,9.3,105.7,2.44,9.61,1.49,3.71,11.33,106.93,518.77,11.83,1.18,8.81,108.8,9,1.4,9.27,1.18,4.76,9.91,134.17,11.3,1239.48,10.07,1.14,8.21
199104,3.43,9.14,111.13,285,9.48,1.16,3.76,8.37,112.37,8.87,288.77,9.46,1.21,1.19,125.43,9.29,9.9,165,9.59,109,11.8,96.95,2.95,12.75,1.18,3.56,9.25,1.22,541.93,9.66,1.19,9.03,106.4,2.43,9.84,1.53,3.91,11.11,108.57,483.77,11.96,1.18,8.71,109.9,8.98,1.37,9.48,1.19,4.96,9.76,135.47,11.12,1204.14,10.08,1.14,7.76
199201,3.23,8.76,111.61,300.33,9.56,1.17,3.56,8,113.7,8.37,303.83,9.61,1.23,1.22,125.67,8.98,9.79,159,10.11,111.7,11.35,99.13,3.03,12.73,1.15,3.18,8.95,1.22,578.03,10.05,1.19,8.73,107.3,2.46,10.09,1.59,3.74,10.95,110.17,509.93,12.23,1.19,8.32,110.07,8.59,1.44,9.59,1.19,4.93,9.51,136.2,10.75,1206.94,9.95,1.14,7.73
199202,3.33,8.87,112.26,300.33,9.57,1.17,3.44,8.1,114.9,8.57,310.1,9.76,1.23,1.2,127,9.39,9.98,153,10.32,113.7,11.51,99.65,2.92,12.56,1.12,3.15,9.05,1.23,603.77,10.04,1.2,8.81,108.1,2.39,9.82,1.6,4,11.23,111.4,484.07,12.68,1.19,8.29,111.07,8.59,1.49,9.51,1.19,4.7,9.05,139.13,10.3,1265.39,9.57,1.13,7.8
199203,3.63,8.93,113.1,279.33,9.64,1.14,3.95,8.1,115.43,8.63,276.37,9.72,1.23,1.19,127,10.17,10.52,137,11.75,118.3,13.39,100.94,2.4,13.52,1.14,3.68,9.36,1.23,544.57,10.55,1.2,9.28,108.7,2.18,10.23,1.66,4.22,12.84,112.3,407.63,16.27,1.19,8.22,112.43,8.63,1.39,9.58,1.2,5.14,9.31,139.03,10.55,1147.78,9.18,1.14,7.22
199204,3.6,8.07,113.65,275.33,8.71,1.13,4.03,7.43,116.53,7.63,260.03,8.97,1.22,1.13,127.3,9.33,10.27,129,13.21,107.7,12.99,102,2.45,14.56,1.12,3.73,8.56,1.24,528.63,10.74,1.19,9.62,108.9,2.01,10.13,1.64,3.28,12.57,113.67,438.13,14.7,1.18,7.55,113.03,7.61,1.38,8.73,1.2,4.62,8.27,139.6,9.51,1276.83,6.52,1.14,7.33
199301,3.27,7.52,114.79,293,8.46,1.1,3.65,6.87,118.57,6.93,281.8,8.32,1.2,1.1,127.33,8.61,9.99,139,15.41,109,11.92,103.33,2.75,14.29,1.07,3.35,8.04,1.25,580.4,11.82,,8.98,109.3,2.26,10.12,1.72,2.69,11.38,115.1,523.3,11.85,,7.03,112.67,6.96,1.5,7.93,,4.27,7.88,138.67,9.02,1384,5.37,1.15,6.9
199302,3.1,7.33,115.25,300,7.42,,3.55,6.77,119.73,6.77,287.2,7.68,,,128.27,7.21,8.32,139,9.35,,10.76,104.31,2.97,12.64,,3.3,7.36,1.26,595.8,8.02,,8.08,109.1,2.64,8.02,,2.34,10.77,116,594.5,,,6.98,113.5,6.63,1.57,7.3,,3.93,8.03,140.9,,1403.58,5.22,,6.62
199303,2.8,,116.08,323.5,,,3.34,,120.2,6.37,315.53,,,,,,,,,,9.79,,3.36,,,3.02,,,636.45,,,,,2.9,,,1.93,9.3,,698.05,,,,114.1,6.29,1.68,,,3.79,7.42,,,1472.28,5.07,,6.32
